timestamp,watts
465,1.6
466,1.6
467,1.7
468,1.6
469,1.6
470,1.6
471,1.6
472,1.6
473,1.6
474,1.6
475,1.6
476,1.6
477,1.5
478,1.5
479,1.5
480,1.6
481,1.6
482,0.0
483,0.1
484,0.3
485,0.4
486,0.6
487,0.7
488,0.8
489,0.9
490,1.0
491,1.0
492,1.1
493,1.1
494,1.2
495,1.2
496,1.2
497,1.3
498,1.3
499,1.3
500,1.3
501,1.4
502,1.4
503,1.4
504,1.4
505,1.4
506,1.4
507,1.4
508,1.4
509,1.4
510,1.4
511,1.5
512,1.5
513,0.0
514,0.1
515,0.3
516,0.0
517,0.2
518,0.3
519,0.4
520,0.6
521,0.7
522,0.8
523,0.0
524,0.2
525,0.3
526,0.5
527,0.6
528,0.7
529,0.8
530,0.9
531,1.0
532,0.0
533,0.2
534,0.3
535,0.4
536,0.6
537,0.7
538,0.8
539,0.9
540,0.9
541,1.0
542,1.1
543,1.1
544,1.2
545,1.2
546,1.2
547,1.3
548,1.3
549,1.3
550,1.3
551,1.3
