timestamp,watts
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.2
119,0.5
120,0.7
121,1.0
122,1.1
123,1.3
124,1.4
125,1.6
126,1.7
127,1.7
128,1.8
129,1.9
130,1.9
131,2.0
132,2.0
133,2.1
134,2.1
135,2.1
136,2.2
137,2.2
138,2.2
139,2.2
140,2.2
141,2.2
142,2.2
143,2.2
144,2.2
145,2.2
146,2.2
147,2.2
148,2.2
149,2.2
150,2.2
151,2.2
152,2.2
153,2.2
154,2.2
155,2.2
156,2.2
157,2.2
158,2.2
159,2.2
160,2.2
161,2.1
162,2.2
163,2.2
164,2.1
165,2.1
166,2.1
167,2.1
168,2.1
169,2.1
170,2.1
171,2.1
172,2.1
173,2.1
174,2.1
175,2.1
176,2.1
177,2.1
178,2.1
179,2.1
180,2.1
181,2.1
182,2.1
183,2.1
184,2.1
185,2.1
186,2.1
187,2.1
188,2.0
189,2.1
190,2.1
191,2.1
192,2.0
193,2.0
194,2.0
195,2.0
196,2.0
197,2.0
198,2.0
199,2.0
200,2.1
201,2.0
202,2.0
203,2.0
204,2.0
205,2.0
206,2.0
207,2.0
208,2.0
209,2.0
210,2.0
211,2.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.3
229,0.5
230,0.0
231,0.2
232,0.0
233,0.2
234,0.0
235,0.3
236,0.4
237,0.6
238,0.7
239,0.0
240,0.2
241,0.0
242,0.3
243,0.4
244,0.6
245,0.8
246,0.0
247,0.3
248,0.0
249,0.3
250,0.4
251,0.0
252,0.2
253,0.0
254,0.3
255,0.0
256,0.2
257,0.0
258,0.2
259,0.4
260,0.0
261,0.3
262,0.0
263,0.3
264,0.0
265,0.2
266,0.4
267,0.0
268,0.2
269,0.0
270,0.4
271,0.0
272,0.2
273,0.4
274,0.0
275,0.3
276,0.0
277,0.3
278,0.5
279,0.0
280,0.3
281,0.0
282,0.3
283,0.4
284,0.6
285,0.7
286,0.0
287,0.3
288,0.0
289,0.3
290,0.4
291,0.7
292,0.8
293,0.0
294,0.3
295,0.0
296,0.3
297,0.0
298,0.2
299,0.4
300,0.0
301,0.3
302,0.0
303,0.3
304,0.4
305,0.0
306,0.4
307,0.0
308,0.2
309,0.4
310,0.0
311,0.3
312,0.0
313,0.3
314,0.0
315,0.2
316,0.4
317,0.5
318,0.7
319,0.0
320,0.3
321,0.0
322,0.3
323,0.4
324,0.0
325,0.3
326,0.0
327,0.3
328,0.0
329,0.2
330,0.4
331,0.0
332,0.3
333,0.0
334,0.3
335,0.0
336,0.1
337,0.4
338,0.0
339,0.3
340,0.0
341,0.2
342,0.4
343,0.0
344,0.4
345,0.0
346,0.2
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,6.9
409,6.7
410,6.6
411,6.6
412,6.5
413,6.5
414,6.3
415,6.3
416,6.2
417,6.2
418,6.1
419,6.1
420,6.0
421,6.0
422,5.9
423,6.0
424,5.9
425,5.9
426,5.9
427,5.9
428,5.8
429,5.9
430,5.8
431,5.8
432,5.7
433,5.8
434,5.7
435,5.8
436,5.7
437,5.7
438,5.6
439,5.7
440,5.6
441,5.6
442,5.6
443,5.6
444,5.6
445,5.6
446,5.5
447,5.6
448,5.5
449,5.5
450,5.4
451,5.5
452,5.4
453,5.5
454,5.5
455,5.6
456,5.5
457,5.5
458,5.5
459,5.6
460,5.5
461,5.6
462,5.4
463,5.5
464,5.4
465,5.5
466,5.4
467,5.5
468,5.3
469,5.4
470,5.3
471,5.4
472,5.3
473,5.4
474,5.3
475,5.4
476,5.3
477,5.4
478,5.3
479,5.4
480,5.3
481,5.4
482,5.3
483,5.3
484,5.3
485,5.4
486,5.2
487,5.3
488,5.2
489,5.3
490,5.2
491,5.3
492,5.2
493,5.3
494,5.2
495,5.4
496,5.3
497,5.4
498,5.2
499,5.3
500,5.2
501,5.4
502,5.2
503,5.4
504,5.3
505,5.4
506,5.3
507,5.3
508,5.3
509,5.3
510,5.3
511,5.3
512,5.3
513,5.3
514,5.2
515,5.3
516,5.3
517,5.3
518,5.3
519,5.3
520,5.2
521,5.2
522,5.2
523,5.2
524,5.2
525,5.2
526,5.3
527,5.2
528,4.8
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
