[watts] 4.6, [volts] 122.8, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.9, [mo. cost] 19.9, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.7, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 122.9, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.7, [mo. cost] 19.9, [max watts] 4.6, [max volts] 122.9, [max amps] 0.073, [min watts] 4.6, [min volts] 122.7, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.7, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.5, [mo. cost] 19.9, [max watts] 4.7, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.7, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.6, [volts] 122.9, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.3, [mo. cost] 19.9, [max watts] 4.7, [max volts] 123.1, [max amps] 0.073, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.7, [volts] 123.0, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.5, [mo. cost] 19.9, [max watts] 4.7, [max volts] 123.0, [max amps] 0.074, [min watts] 4.6, [min volts] 122.8, [min amps] 0.071, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 249.0, [mo. cost] 19.9, [max watts] 4.7, [max volts] 123.0, [max amps] 0.074, [min watts] 4.6, [min volts] 122.8, [min amps] 0.071, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.6
[watts] 4.6, [volts] 122.9, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.8, [mo. cost] 19.9, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.8, [min amps] 0.071, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.7, [mo. cost] 19.9, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.7, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.6, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.9, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 122.9, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.1, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.0, [max amps] 0.071, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
