timestamp,watts
0,4.1
1,4.0
2,4.0
3,3.9
4,4.0
5,3.9
6,3.9
7,3.8
8,3.8
9,3.8
10,3.8
11,3.8
12,3.8
13,3.8
14,3.8
15,3.7
16,3.7
17,3.7
18,3.7
19,3.6
20,3.7
21,3.7
22,3.7
23,3.7
24,3.7
25,3.6
26,3.5
27,3.5
28,3.5
29,3.6
30,3.6
31,3.6
32,3.7
33,3.7
34,3.7
35,3.6
36,3.6
37,3.7
38,3.6
39,3.5
40,3.5
41,3.5
42,3.4
43,3.4
44,3.4
45,3.3
46,3.4
47,3.6
48,3.7
49,3.7
50,3.6
51,3.6
52,3.5
53,3.3
54,3.3
55,3.3
56,3.3
57,3.3
58,3.3
59,3.3
60,3.3
61,3.3
62,3.4
63,3.3
64,3.3
65,3.4
66,3.3
67,3.3
68,3.4
69,3.3
70,3.3
71,3.3
72,3.3
73,3.2
74,3.2
75,3.2
76,3.2
77,3.2
78,3.3
79,3.2
80,3.1
81,3.0
82,3.0
83,2.9
84,2.8
85,2.8
86,2.7
87,2.6
88,2.6
89,2.6
90,2.5
91,2.5
92,2.5
93,2.5
94,2.5
95,2.5
96,2.5
97,2.5
98,2.5
99,2.5
100,2.5
101,2.5
102,2.4
103,2.4
104,2.4
105,2.4
106,2.4
107,2.4
108,2.4
109,2.4
110,2.4
111,2.4
112,2.4
113,2.3
114,2.3
115,2.3
116,2.3
117,2.3
118,2.3
119,2.3
120,2.3
121,2.3
122,2.3
123,2.3
124,2.3
125,2.3
126,2.3
127,2.3
128,2.3
129,2.3
130,2.3
131,2.3
132,2.3
133,2.3
134,2.4
135,2.5
136,2.7
137,2.9
138,3.1
139,3.3
140,3.4
141,3.6
142,3.6
143,3.7
144,3.8
145,3.9
146,3.9
147,4.0
148,4.0
149,4.0
150,4.1
151,4.1
152,4.2
153,4.2
154,4.2
155,4.2
156,4.2
157,4.2
158,4.2
159,4.2
160,4.2
161,4.1
162,4.1
163,4.2
164,4.1
165,4.2
166,4.3
167,4.3
168,4.3
169,4.3
170,4.3
171,4.2
172,4.3
173,4.4
174,4.4
175,4.4
176,4.4
177,4.4
178,4.4
179,4.3
180,4.2
181,4.2
182,4.2
183,4.3
184,4.3
185,4.3
186,4.3
187,4.3
188,4.4
189,4.4
190,4.4
191,4.4
192,4.5
193,4.5
194,4.3
195,4.0
196,3.8
197,3.6
198,3.5
199,3.3
200,3.2
201,3.0
202,2.9
203,2.9
204,3.0
205,3.5
206,3.9
207,4.3
208,4.7
209,5.0
210,5.2
211,5.5
212,5.7
213,5.8
214,6.0
215,6.1
216,6.2
217,6.3
218,6.4
219,6.5
220,6.6
221,6.7
222,6.8
223,6.9
224,6.9
225,7.0
226,7.0
227,7.0
228,7.0
229,7.0
230,7.1
231,7.0
232,7.1
233,7.1
234,7.1
235,7.1
236,7.1
237,7.1
238,7.1
239,7.1
240,7.2
241,7.2
242,7.2
243,7.2
244,7.2
245,7.3
246,7.3
247,7.3
248,7.3
249,7.3
250,7.3
251,7.3
252,7.3
253,7.3
254,7.3
255,7.3
256,7.2
257,7.2
258,7.2
259,7.2
260,7.2
261,7.2
262,7.3
263,7.3
264,7.1
265,6.5
266,6.0
267,5.6
268,5.2
269,4.8
270,4.5
271,4.3
272,4.1
273,3.9
274,3.9
275,4.3
276,4.7
277,5.1
278,5.4
279,5.7
280,5.9
281,6.1
282,6.3
283,6.4
284,6.5
285,6.7
286,6.8
287,6.9
288,6.9
289,7.0
290,7.1
291,7.1
292,7.2
293,7.2
294,7.2
295,7.3
296,7.3
297,7.3
298,7.4
299,7.4
300,7.4
301,7.4
302,7.4
303,7.4
304,7.4
305,7.5
306,7.4
307,7.4
308,7.4
309,7.5
310,7.5
311,7.5
312,7.5
313,7.5
314,7.5
315,7.5
316,7.5
317,7.5
318,7.5
319,7.4
320,7.5
321,7.5
322,7.5
323,7.5
324,7.4
325,7.5
326,7.5
327,7.5
328,7.5
329,7.4
330,7.5
331,7.5
332,7.5
333,7.5
334,7.3
335,6.7
336,6.2
337,5.8
338,5.4
339,5.0
340,4.7
341,4.5
342,4.2
343,4.0
344,3.9
345,3.7
346,3.5
347,3.4
348,3.3
349,3.2
350,3.1
351,3.1
352,3.0
353,3.0
354,2.9
355,2.8
356,2.8
357,2.7
358,2.7
359,2.7
360,2.6
361,2.6
362,2.6
363,2.5
364,2.6
365,2.5
366,2.5
367,2.5
368,2.5
369,2.5
370,2.4
371,2.4
372,2.4
373,2.5
374,2.4
375,2.4
376,2.4
377,2.4
378,2.4
379,2.4
380,2.4
381,2.4
382,2.4
383,2.4
384,2.4
385,2.4
386,2.3
387,2.4
388,2.3
389,2.3
390,2.3
391,2.3
392,2.4
393,2.3
394,2.3
395,2.3
396,2.3
397,2.4
398,2.4
399,2.4
400,2.4
401,2.3
402,2.3
403,2.3
404,2.3
405,2.3
406,2.3
407,2.3
408,2.3
409,2.3
410,2.3
411,2.3
412,2.3
413,2.3
414,2.4
415,2.5
416,2.5
417,2.5
418,2.5
419,2.5
420,2.5
421,2.5
422,2.5
423,2.5
424,2.5
425,2.5
426,2.5
427,2.4
428,2.4
429,2.4
430,2.4
431,2.4
432,2.3
433,2.4
434,2.4
435,2.4
436,2.3
437,2.3
438,2.3
439,2.3
440,2.3
441,2.3
442,2.3
443,2.3
444,2.3
445,2.3
446,2.2
447,2.2
448,2.2
449,2.2
450,2.2
451,2.3
452,2.2
453,2.2
454,2.3
455,2.2
456,2.2
457,2.2
458,2.2
459,2.2
460,2.2
461,2.2
462,2.2
463,2.2
464,2.2
465,2.3
466,2.3
467,2.3
468,2.2
469,2.2
470,2.2
471,2.2
472,2.2
473,2.2
474,2.2
475,2.2
476,2.2
477,2.2
478,2.2
479,2.2
480,2.2
481,2.2
482,2.2
483,2.2
484,2.2
485,2.2
486,2.2
487,2.2
488,2.2
489,2.2
490,2.2
491,2.2
492,2.2
493,2.2
494,2.1
495,2.1
496,2.1
497,2.1
498,2.2
499,2.2
500,2.2
501,2.1
502,2.1
503,2.2
504,2.1
505,2.1
506,2.1
507,2.1
508,2.1
509,2.1
510,2.1
511,2.1
512,2.2
513,2.1
514,2.1
515,2.1
516,2.1
517,2.1
518,2.1
519,2.1
520,2.1
521,2.1
522,2.1
523,2.1
524,2.1
525,2.1
526,2.1
527,2.1
528,2.1
529,2.1
530,2.1
531,2.1
532,2.1
533,2.1
534,2.1
535,2.1
536,2.1
537,2.1
538,2.1
539,2.1
540,2.1
541,2.1
542,2.1
543,2.1
544,2.1
545,2.1
546,2.1
547,2.1
548,2.1
549,2.1
550,2.1
551,2.1
552,2.1
553,2.1
554,2.1
555,2.1
556,2.0
557,2.0
558,2.1
559,2.0
560,2.0
561,2.0
562,2.1
563,2.1
564,2.1
565,2.1
566,2.0
567,2.1
568,2.1
569,2.0
570,2.0
571,2.0
572,2.0
573,2.1
574,2.0
575,2.0
576,2.0
577,2.0
578,2.1
579,2.1
580,2.1
581,2.0
582,2.0
583,2.0
584,2.0
585,2.0
586,2.0
587,2.0
588,2.0
589,2.0
590,2.0
591,2.0
592,2.1
593,2.1
594,2.1
595,2.0
596,2.0
597,2.0
598,2.0
599,2.0
600,2.0
601,2.0
602,2.0
603,2.0
604,2.0
605,2.0
606,2.0
607,2.0
608,2.1
609,2.0
610,2.1
611,2.0
612,2.0
613,2.0
614,2.0
615,2.0
616,2.0
617,2.0
618,2.0
619,2.0
620,2.0
621,2.0
622,1.9
623,2.0
624,2.0
625,1.9
626,1.9
627,1.9
628,1.9
629,1.9
630,2.0
631,2.0
632,1.9
633,2.0
634,2.0
635,1.9
636,1.9
637,1.9
638,2.0
639,1.9
640,2.0
641,1.9
642,1.9
643,1.9
644,2.0
645,2.0
646,1.9
647,2.0
648,2.0
649,1.9
650,1.9
651,1.9
652,1.9
653,1.9
654,1.9
655,1.9
656,1.9
657,1.9
658,1.9
659,1.9
660,1.9
661,1.9
662,1.9
663,1.9
664,1.9
665,1.9
666,1.9
667,1.9
668,1.9
669,1.9
670,1.9
671,1.9
672,2.0
673,2.0
674,1.9
675,1.9
676,1.9
677,1.9
678,1.9
679,1.9
680,1.9
681,1.9
682,1.9
683,1.9
684,1.9
685,1.9
686,1.9
687,1.9
688,1.9
689,1.9
690,1.8
691,1.9
692,1.9
693,1.9
694,1.9
695,1.9
696,1.9
697,1.9
698,1.9
699,1.9
700,1.9
701,1.9
702,1.9
703,1.8
704,1.8
705,1.9
706,1.9
707,1.8
708,1.8
709,1.9
710,1.9
711,1.8
712,1.8
713,1.9
714,1.9
715,1.9
716,1.9
717,1.8
718,1.8
719,1.8
720,1.8
721,1.9
722,1.8
723,1.8
724,1.9
725,1.9
726,1.8
727,1.8
728,1.8
729,1.8
730,1.9
731,1.8
732,1.8
733,1.8
734,1.8
735,1.8
736,1.8
737,1.8
738,1.8
739,1.8
740,1.8
741,1.8
742,1.8
743,1.9
744,1.8
745,1.8
746,1.9
747,1.9
748,1.8
749,1.8
750,1.8
751,1.8
752,1.8
753,1.8
754,1.8
755,1.8
756,1.8
757,1.8
758,1.8
759,1.8
760,1.8
761,1.8
762,1.8
763,1.8
764,1.8
765,1.8
766,1.8
767,1.7
768,1.8
769,1.8
770,1.7
771,1.7
772,1.8
773,1.8
774,1.7
775,1.8
776,1.8
777,1.7
778,1.7
779,1.7
780,1.7
781,1.7
782,1.7
783,1.7
784,1.8
785,1.8
786,1.7
787,1.7
788,1.7
789,1.7
790,1.7
791,1.7
792,1.7
793,1.8
794,1.8
795,1.7
796,1.7
797,1.7
798,1.7
799,1.8
