Index,Bandwidth
0.000512,16222.86
0.001024,16513.39
0.002048,16528.55
0.004096,16595.76
0.008192,16595.42
0.016384,16656.57
0.032768,16653.09
0.065536,16604.04
0.131072,16551.59
0.262144,14795.09
0.524288,16549.37
1.05,16372.37
2.10,16494.88
4.19,16524.84
8.39,15574.84
16.78,16176.01
33.55,16461.70
67.11,16448.25
134.22,16438.18
268.44,16432.14
536.87,15665.00
1073.74,15451.52
2147.48,15080.54
