Index,Bandwidth
0.000512,16127.70
0.001024,16461.11
0.002048,15628.55
0.004096,15681.04
0.008192,16591.57
0.016384,16647.54
0.032768,16652.06
0.065536,16640.58
0.131072,16595.89
0.262144,16594.09
0.524288,15930.27
1.05,16456.12
2.10,16518.92
4.19,16487.93
8.39,15879.31
16.78,15824.58
33.55,15975.77
67.11,15931.52
134.22,15807.06
268.44,15881.88
536.87,15553.81
1073.74,15288.28
2147.48,14935.48
