Index,Bandwidth
0.000512,11753.41
0.001024,10442.44
0.002048,11938.57
0.004096,12011.35
0.008192,11990.79
0.016384,12002.30
0.032768,11986.02
0.065536,12020.98
0.131072,11862.46
0.262144,11879.64
0.524288,11892.41
1.05,11855.76
2.10,11786.02
4.19,11812.86
8.39,11761.10
16.78,11450.07
33.55,11244.78
67.11,11101.55
134.22,10868.71
268.44,10756.35
536.87,11008.45
1073.74,10973.79
2147.48,10890.10
