Index,Bandwidth
0.000512,3027.82
0.001024,7911.33
0.002048,5926.96
0.004096,2705.04
0.008192,6410.51
0.016384,6715.59
0.032768,5436.14
0.065536,2160.67
0.131072,6684.21
0.262144,2522.13
0.524288,6176.28
1.05,2815.26
2.10,5005.14
4.19,2873.30
8.39,4809.98
16.78,5071.20
33.55,6210.91
67.11,6583.17
134.22,5727.48
268.44,5739.48
536.87,6842.34
1073.74,6854.62
2147.48,5879.96
