Index,Bandwidth
0.000512,11501.01
0.001024,11598.07
0.002048,11911.50
0.004096,11881.79
0.008192,11931.19
0.016384,11741.15
0.032768,11952.05
0.065536,11868.53
0.131072,11805.78
0.262144,11640.41
0.524288,11778.63
1.05,11798.32
2.10,11779.68
4.19,11694.16
8.39,11740.53
16.78,11118.10
33.55,11041.27
67.11,11072.24
134.22,11126.40
268.44,10947.61
536.87,11031.29
1073.74,10937.58
2147.48,10921.11
4294.97,10989.60
