Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:52:43   2.0   0.0   1.0  97.0   0.0    1   2792   1856   0.00E
13:52:43   0.8   0.0   0.5  98.7   0.0    1   2456   1708   0.00E
13:52:44   1.5   0.0   1.3  97.2   0.0    1   2632   1692   0.00E
13:52:44  12.9   0.0   0.5  86.3   0.3    2   3180   2218   0.00E
13:52:45   6.1   0.0   1.0  92.9   0.0    1   2282   1660   0.00E
13:52:45   5.1   0.0   1.8  93.1   0.0    1   4866   2296   0.00E
13:52:46   1.5   0.0   1.3  97.0   0.3    1   2880   1850   0.00E
13:52:46   1.5   0.0   0.3  98.2   0.0    1   2370   1506   0.00E
13:52:47  11.6   0.0   0.3  88.1   0.0    3   2536   2006   0.00E
13:52:47   4.8   0.0   0.5  94.7   0.0    1   2530   1650   0.00E
13:52:48   2.3   0.0   0.5  97.2   0.0    1   2986   1724   0.00E
13:52:48   2.3   0.0   0.5  97.0   0.3    1   2330   1458   0.00E
13:52:49   2.5   0.0   1.0  96.4   0.0    1   2764   1678   0.00E
13:52:49   0.8   0.0   0.0  99.2   0.0    1   2028   1336   0.00E
13:52:50   1.8   0.0   1.0  97.2   0.0    1   2646   1550   0.00E
13:52:50   2.0   0.0   0.8  97.0   0.3    1   2736   1798   0.00E
13:52:51   1.5   0.0   1.3  97.2   0.0    1   2346   1592   0.00E
13:52:51   3.8   0.0   0.5  95.7   0.0    1   2906   2090   0.00E
13:52:52   1.5   0.0   1.8  96.7   0.0    1   2422   1548   0.00E
13:52:52   4.1   0.0   4.8  91.1   0.0    9   2674   1606   0.00E
13:52:53  36.8   0.0  38.0  25.2   0.0    3   3322   4976   0.00E
13:52:53  36.9   0.0  36.7  26.2   0.2    7   3108   5624   0.00E
13:52:54  38.1   0.0  43.4  18.5   0.0    7   3532   6126   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:52:54  35.7   0.0  35.2  29.1   0.0    8   2642   5658   0.00E
13:52:55  39.8   0.0  38.6  21.6   0.0    8   2828   6272   0.00E
13:52:55  39.1   0.0  33.6  27.3   0.0    6   2850   5736   0.00E
13:52:56  39.4   0.0  38.7  21.9   0.0    8   3040   6190   0.00E
13:52:56  36.1   0.0  38.3  25.3   0.3    7   2854   5858   0.00E
13:52:57  34.3   0.0  41.6  24.2   0.0    8   2948   5904   0.00E
13:52:57  36.6   0.0  37.6  25.8   0.0    6   3200   5818   0.00E
13:52:58  37.8   0.0  37.3  24.8   0.0    9   3672   6226   0.00E
13:52:58  40.2   0.0  37.7  21.6   0.5    8   2644   6360   0.00E
13:52:59  34.7   0.0  35.4  28.6   1.3    6   5494   6290   0.00E
13:52:59  40.4   0.0  42.9  16.8   0.0    7   3562   7044   0.00E
13:53:00  38.7   0.0  36.2  25.1   0.0    5   3970   6114   0.00E
13:53:00  39.7   0.0  38.4  21.9   0.0    8   3184   5732   0.00E
13:53:01  41.6   0.0  37.6  20.8   0.0    5   3464   6052   0.00E
13:53:01  39.4   0.0  32.2  28.4   0.0    9   2720   5442   0.00E
13:53:02  39.9   0.0  40.6  19.2   0.2    9   3748   6674   0.00E
13:53:02  37.8   0.0  34.2  28.0   0.0    7   3238   5802   0.00E
13:53:03  39.2   0.0  37.9  22.9   0.0    9   3106   5972   0.00E
13:53:03  41.7   0.0  35.9  22.4   0.0    7   2856   6430   0.00E
13:53:04  37.9   0.0  37.4  24.4   0.3    7   3302   6246   0.00E
13:53:04  37.8   0.0  38.5  23.8   0.0    5   2444   6188   0.00E
13:53:05  38.1   0.0  39.6  22.3   0.0    7   3046   6170   0.00E
13:53:05  37.5   0.0  40.2  22.2   0.0    6   2906   6194   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:53:06  40.1   0.0  34.5  25.4   0.0    8   2968   5678   0.00E
