Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:59:23   2.8   0.0   1.0  96.2   0.0    2   3578   2090   0.00E
13:59:23   2.3   0.0   0.3  97.5   0.0    6   2294   1428   0.00E
13:59:24   1.8   0.0   0.8  97.4   0.0    1   2984   1788   0.00E
13:59:24   0.8   0.0   0.0  99.2   0.0    1   1984   1284   0.00E
13:59:25   2.3   0.0   1.0  96.4   0.3    1   2834   1794   0.00E
13:59:25   2.0   0.0   0.3  97.7   0.0    1   2496   1706   0.00E
13:59:26   2.0   0.0   1.8  96.2   0.0    1   3064   1874   0.00E
13:59:26   1.0   0.0   0.3  98.5   0.3    1   2178   1496   0.00E
13:59:27   2.8   0.0   1.0  96.2   0.0    1   3616   2192   0.00E
13:59:27   1.0   0.0   0.3  98.7   0.0    1   2130   1472   0.00E
13:59:28   9.9   0.0   1.3  88.8   0.0    2   4102   6982   0.00E
13:59:28   8.3   0.0   0.5  91.2   0.0    1   2766   2120   0.00E
13:59:29  15.1   0.0   0.3  84.7   0.0    1   5548   2826   0.00E
13:59:29   1.5   0.0   0.8  97.7   0.0    1   2308   1538   0.00E
13:59:30   1.3   0.0   1.3  97.5   0.0    1   3662   2206   0.00E
13:59:30   2.3   0.0   0.3  97.2   0.3    1   2750   1606   0.00E
13:59:31   1.8   0.0   0.8  97.4   0.0    1   2912   1840   0.00E
13:59:31   2.3   0.0   0.3  97.5   0.0    1   2768   1774   0.00E
13:59:32   2.8   0.0   1.0  96.2   0.0    1   3328   1938   0.00E
13:59:32   5.2   0.0   6.0  88.8   0.0   12   3216   1806   0.00E
13:59:33  39.8   0.0  60.2   0.0   0.0    9   3624   4612   0.00E
13:59:33  40.0   0.0  60.0   0.0   0.0    9   2510   4410   0.00E
13:59:34  38.8   0.0  61.2   0.0   0.0   11   2914   4374   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:59:34  41.5   0.0  58.5   0.0   0.0    9   2470   4608   0.00E
13:59:35  39.2   0.0  60.8   0.0   0.0    9   3136   4700   0.00E
13:59:35  40.1   0.0  58.4   1.5   0.0   11   3284   4634   0.00E
13:59:36  38.4   0.0  61.6   0.0   0.0   11   3310   5222   0.00E
13:59:36  40.4   0.0  59.6   0.0   0.0    9   2516   4706   0.00E
13:59:37  38.5   0.0  61.5   0.0   0.0    9   3468   5104   0.00E
13:59:37  39.2   0.0  60.8   0.0   0.0    9   2004   4350   0.00E
13:59:38  38.3   0.0  61.7   0.0   0.0    9   3302   4590   0.00E
13:59:38  36.8   0.0  60.8   2.5   0.0    9   2128   4456   0.00E
13:59:39  38.8   0.0  61.2   0.0   0.0    9   2934   4614   0.00E
13:59:39  38.8   0.0  61.2   0.0   0.0    9   2404   4534   0.00E
13:59:40  34.9   0.0  65.1   0.0   0.0    9   2882   5108   0.00E
13:59:40  39.0   0.0  61.0   0.0   0.0    9   1924   4296   0.00E
13:59:41  39.8   0.0  60.2   0.0   0.0    9   2600   4394   0.00E
13:59:41  40.8   0.0  59.2   0.0   0.0    9   2200   4734   0.00E
13:59:42  40.9   0.0  59.1   0.0   0.0   11   3356   5042   0.00E
13:59:42  47.1   0.0  52.9   0.0   0.0   10   2592   4136   0.00E
13:59:43  46.4   0.0  53.6   0.0   0.0   11   3284   4722   0.00E
13:59:43  45.4   0.0  54.6   0.0   0.0   10   2262   4364   0.00E
13:59:44  44.1   0.0  55.9   0.0   0.0   10   3304   5600   0.00E
13:59:44  48.9   0.0  51.1   0.0   0.0   10   2028   5200   0.00E
13:59:45  42.8   0.0  57.2   0.0   0.0    9   3830   6200   0.00E
13:59:45  35.0   0.0  65.0   0.0   0.0    9   2326   6636   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:59:46  39.2   0.0  60.8   0.0   0.0    9   3146   6746   0.00E
