Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:49:23   1.5   0.0   1.3  97.2   0.0    1   2556   1826   0.00E
13:49:23   2.8   0.0   0.8  96.2   0.3    1   2610   1526   0.00E
13:49:24   2.8   0.0   1.3  95.9   0.0    1   2702   1660   0.00E
13:49:24   2.6   0.0   0.3  97.2   0.0    1   2278   1448   0.00E
13:49:25   2.1   0.0   1.0  96.9   0.0    1   3190   2016   0.00E
13:49:25   2.8   0.0   0.3  97.0   0.0    1   2546   1522   0.00E
13:49:26   1.8   0.0   1.3  97.0   0.0    1   2682   1688   0.00E
13:49:26   3.3   0.0   0.3  96.4   0.0    1   2584   1656   0.00E
13:49:27   1.0   0.0   1.5  97.4   0.0    1   2790   1682   0.00E
13:49:27   1.0   0.0   0.3  98.7   0.0    1   2764   1702   0.00E
13:49:28   0.3   0.0   1.0  98.7   0.0    1   2632   1836   0.00E
13:49:28   0.8   0.0   0.3  98.7   0.3    1   2010   1484   0.00E
13:49:29   2.3   0.0   1.5  96.2   0.0    3   2722   1688   0.00E
13:49:29   1.8   0.0   0.3  98.0   0.0    1   2752   1670   0.00E
13:49:30   2.5   0.0   1.3  96.2   0.0    1   3724   2044   0.00E
13:49:30   1.8   0.0   0.3  98.0   0.0    1   2156   1484   0.00E
13:49:31   2.0   0.0   1.5  96.4   0.0    1   2808   1644   0.00E
13:49:31   2.5   0.0   0.0  97.5   0.0    2   2804   1534   0.00E
13:49:32   2.0   0.0   1.0  96.7   0.3    1   2588   1712   0.00E
13:49:32   5.5   0.0   5.0  89.4   0.0   13   2732   1548   0.00E
13:49:33  17.8   0.0  26.9  55.3   0.0    3   3304   2956   0.00E
13:49:33  18.0   0.0  30.3  51.6   0.0    8   2942   3186   0.00E
13:49:34  17.5   0.0  23.3  58.9   0.3    9   3142   3354   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:49:34  21.4   0.0  29.2  49.4   0.0    7   2624   3366   0.00E
13:49:35  13.6   0.0  25.7  60.7   0.0    6   3146   3238   0.00E
13:49:35  20.0   0.0  30.0  50.0   0.0    6   3706   3246   0.00E
13:49:36  16.6   0.0  22.4  61.1   0.0    6   3236   3370   0.00E
13:49:36  19.9   0.0  28.5  51.6   0.0    8   2530   3480   0.00E
13:49:37  16.4   0.0  23.2  60.5   0.0    6   3000   3406   0.00E
13:49:37  19.0   0.0  29.0  52.0   0.0    6   2418   3908   0.00E
13:49:38  16.3   0.0  24.3  59.1   0.3    4   3264   3892   0.00E
13:49:38  18.5   0.0  28.6  52.9   0.0    7   2584   3702   0.00E
13:49:39  17.0   0.0  24.6  58.5   0.0    4   2704   3852   0.00E
13:49:39  17.4   0.0  25.9  56.4   0.3    7   2464   3210   0.00E
13:49:40  19.1   0.0  25.7  55.2   0.0    4   3108   3886   0.00E
13:49:40  31.1   0.0  24.3  44.6   0.0    6   2322   3816   0.00E
13:49:41  27.1   0.0  25.6  47.3   0.0    2   2762   3686   0.00E
13:49:41  21.3   0.0  24.3  54.4   0.0    5   3040   3556   0.00E
13:49:42  28.5   0.0  31.3  40.2   0.0    5   3222   4202   0.00E
13:49:42  20.8   0.0  24.3  54.9   0.0    4   2690   3510   0.00E
13:49:43  18.6   0.0  28.0  53.4   0.0    6   3198   3752   0.00E
13:49:43  16.6   0.0  27.2  56.2   0.0    3   2476   4090   0.00E
13:49:44  18.7   0.0  26.8  54.5   0.0    4   3436   3882   0.00E
13:49:44  24.7   0.0  26.7  48.4   0.3    5   3096   3838   0.00E
13:49:45  28.5   0.0  27.7  43.8   0.0    4   2752   4388   0.00E
13:49:45  19.4   0.0  28.2  52.1   0.3    3   4604   4588   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:49:46  27.6   0.0  27.6  44.9   0.0    4   3314   4286   0.00E
