Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:41  25.4   0.0  17.4  57.2   0.0    2   3326   2828   0.00E
13:46:41  24.3   0.0  12.0  63.4   0.3    5   4690   6086   0.00E
13:46:42  26.8   0.0  14.1  59.1   0.0    3   4984   6258   0.00E
13:46:42  23.6   0.0  16.0  60.4   0.0    6   4486   7770   0.00E
13:46:43  22.6   0.0  14.7  62.7   0.0    3   5746   7920   0.00E
13:46:43  26.1   0.0  14.5  59.1   0.3    5   4334   7502   0.00E
13:46:44  21.2   0.0  12.6  66.2   0.0    3   3998   7664   0.00E
13:46:44  25.9   0.0  16.6  57.4   0.0    8   4126   6270   0.00E
13:46:45  22.6   0.0  11.2  66.2   0.0    3   6364   7006   0.00E
13:46:45  26.8   0.0  19.7  53.4   0.0    4   5674   8214   0.00E
13:46:46  22.9   0.0  11.8  65.1   0.3    4   4754   5572   0.00E
13:46:46  25.1   0.0  19.3  55.6   0.0    4   4520   6176   0.00E
13:46:47  22.7   0.0  11.3  66.0   0.0    2   6078   5880   0.00E
13:46:47  28.2   0.0  18.5  53.3   0.0    4   7324   8428   0.00E
13:46:48  21.6   0.0   9.4  68.7   0.3    3   6028   8026   0.00E
13:46:48  26.2   0.0  19.1  54.7   0.0    4   3720   4948   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:49  21.3   0.0   9.1  69.5   0.0    4   4842   6554   0.00E
13:46:49  29.6   0.0  21.1  49.2   0.0    6   5730   3258   0.00E
13:46:50  24.3   0.0  10.4  65.3   0.0    6   8182   5282   0.00E
13:46:50  26.9   0.0  20.6  52.5   0.0    2   5812   7412   0.00E
13:46:51  32.0   0.0  13.2  54.8   0.0    6  14116   7864   0.00E
13:46:51  29.0   0.0  19.7  51.0   0.3    4  12226   8330   0.00E
13:46:52  27.0   0.0  15.4  57.6   0.0    5  13430   9688   0.00E
13:46:52  30.4   0.0  18.4  51.3   0.0    4  13378   8550   0.00E
13:46:53  26.7   0.0  17.2  56.1   0.0    7   7666   4122   0.00E
13:46:53  24.2   0.0  13.6  61.9   0.3    3   7852   3140   0.00E
13:46:54  35.0   0.0  16.4  48.6   0.0    5  12032   3806   0.00E
