Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:56:03  14.5   0.0   0.5  85.0   0.0    2   4002   2432   0.00E
13:56:03  10.4   0.0   0.3  89.4   0.0    1   3714   2054   0.00E
13:56:04   2.8   0.0   1.0  96.1   0.0    1   3458   2000   0.00E
13:56:04   3.3   0.0   0.8  95.7   0.3    1   3602   2196   0.00E
13:56:05   1.5   0.0   1.0  97.4   0.0    1   3192   1892   0.00E
13:56:05   3.1   0.0   0.5  96.4   0.0    1   4212   2108   0.00E
13:56:06   3.6   0.0   1.5  94.9   0.0    1   3994   2092   0.00E
13:56:06   1.8   0.0   0.3  98.0   0.0    1   2336   1462   0.00E
13:56:07   2.8   0.0   0.5  96.7   0.0    5   3238   1908   0.00E
13:56:07  16.3   0.0   0.5  83.2   0.0    1   4242   7580   0.00E
13:56:08   1.8   0.0   1.3  96.7   0.3    1   3120   1904   0.00E
13:56:08   1.5   0.0   0.3  98.2   0.0    1   2746   1820   0.00E
13:56:09   1.8   0.0   0.8  97.4   0.0    1   2712   1676   0.00E
13:56:09   0.5   0.0   0.3  99.2   0.0    1   2222   1520   0.00E
13:56:10   2.3   0.0   0.8  96.7   0.3    1   3418   2554   0.00E
13:56:10   1.3   0.0   0.3  98.5   0.0    1   2090   1504   0.00E
13:56:11   9.4   0.0   0.3  90.1   0.3    2   2958   1924   0.00E
13:56:11  20.9   0.0   1.0  78.1   0.0    2   7048   5396   0.00E
13:56:12  13.7   0.0   0.0  86.3   0.0    2   3022   2586   0.00E
13:56:12  15.9   0.0   3.5  80.5   0.0   11   4134   2608   0.00E
13:56:13  48.1   0.0  38.4  13.5   0.0    9   4880   5256   0.00E
13:56:13  55.1   0.0  42.4   2.5   0.0   10   3076   5076   0.00E
13:56:14  51.1   0.0  34.8  14.0   0.0    9   4206   5394   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:56:14  55.1   0.0  44.1   0.8   0.0   11   4120   5438   0.00E
13:56:15  53.5   0.0  37.2   9.3   0.0   10   5142   5768   0.00E
13:56:15  54.8   0.0  44.5   0.8   0.0    9   3424   5300   0.00E
13:56:16  53.4   0.0  38.9   7.7   0.0    6   3826   5328   0.00E
13:56:16  52.2   0.0  41.8   6.0   0.0   10   2744   4614   0.00E
13:56:17  53.4   0.0  44.1   2.5   0.0    8   3250   4750   0.00E
13:56:17  45.9   0.0  44.9   9.3   0.0    9   3528   5006   0.00E
13:56:18  49.6   0.0  46.6   3.7   0.0    9   3348   5398   0.00E
13:56:18  46.1   0.0  45.4   8.5   0.0    9   5960   5774   0.00E
13:56:19  53.9   0.0  45.1   1.0   0.0    9   7468   6576   0.00E
13:56:19  58.9   0.0  39.1   2.0   0.0   15   3724   5282   0.00E
13:56:20  51.2   0.0  43.5   5.2   0.0   10   3016   6170   0.00E
13:56:20  49.8   0.0  44.2   6.0   0.0    8   4088   5838   0.00E
13:56:21  48.5   0.0  43.2   8.0   0.2    8   2832   5138   0.00E
13:56:21  52.2   0.0  44.8   3.0   0.0    7   2736   4756   0.00E
13:56:22  46.4   0.0  43.9   9.8   0.0    8   4786   5480   0.00E
13:56:22  50.2   0.0  46.8   3.0   0.0    9   5686   5590   0.00E
13:56:23  45.3   0.0  45.8   8.8   0.0    9   5874   5870   0.00E
13:56:23  49.8   0.0  46.8   3.5   0.0    8   3896   4652   0.00E
13:56:24  41.0   0.0  46.8  12.2   0.0   13   3830   3018   0.00E
13:56:24  46.1   0.0  50.1   3.8   0.0   11   4578   3462   0.00E
13:56:25  55.6   0.0  44.1   0.3   0.0   11   8370   4962   0.00E
13:56:25  46.9   0.0  53.1   0.0   0.0   14   6252   4126   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:56:26  50.8   0.0  46.2   3.0   0.0    8   7720   4808   0.00E
